0,name,city,country,iata,icao,latitude,longitude,altitude,dst,tz
1,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.4706,-73.740799,118.0,A,America/Toronto
2,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.193901,-123.183998,14.0,A,America/Vancouver
3,Calgary International Airport,Calgary,Canada,YYC,CYYC,51.113899,-114.019997,3557.0,A,America/Edmonton
4,Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.6469,-123.426003,63.0,A,America/Vancouver
5,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.6772,-79.6306,569.0,A,America/Toronto
6,Bergen Airport Flesland,Bergen,Norway,BGO,ENBR,60.2934,5.21814,170.0,E,Europe/Oslo
7,Oslo Lufthavn,Oslo,Norway,OSL,ENGM,60.121,11.0502,681.0,E,Europe/Oslo
8,Cape Town International Airport,Cape Town,South Africa,CPT,FACT,-33.964802,18.6017,151.0,U,Africa/Johannesburg
9,OR Tambo International Airport,Johannesburg,South Africa,JNB,FAOR,-26.1392,28.246,5558.0,U,Africa/Johannesburg
10,Toulouse-Blagnac Airport,Toulouse,France,TLS,LFBO,43.629101,1.36382,499.0,E,Europe/Paris
11,Paris-Orly Airport,Paris,France,ORY,LFPO,48.723333,2.379444,291.0,E,Europe/Paris
12,Taiwan Taoyuan International Airport,Taipei,Taiwan,TPE,RCTP,25.0777,121.233002,106.0,U,Asia/Taipei
13,Fukuoka Airport,Fukuoka,Japan,FUK,RJFF,33.585899,130.451004,32.0,U,Asia/Tokyo
14,Osaka International Airport,Osaka,Japan,ITM,RJOO,34.7855,135.438004,50.0,U,Asia/Tokyo
15,Tokyo Haneda International Airport,Tokyo,Japan,HND,RJTT,35.552299,139.779999,35.0,U,Asia/Tokyo
16,Netaji Subhash Chandra Bose International Airport,Kolkata,India,CCU,VECC,22.654699,88.446701,16.0,N,Asia/Calcutta
17,Hong Kong International Airport,Hong Kong,Hong Kong,HKG,VHHH,22.308901,113.915001,28.0,U,Asia/Hong_Kong
18,Indira Gandhi International Airport,Delhi,India,DEL,VIDP,28.5665,77.103104,777.0,N,Asia/Calcutta
19,Kempegowda International Airport,Bangalore,India,BLR,VOBL,13.1979,77.706299,3000.0,N,Asia/Calcutta
20,Brisbane International Airport,Brisbane,Australia,BNE,YBBN,-27.384199,153.117004,13.0,N,Australia/Brisbane
21,Melbourne International Airport,Melbourne,Australia,MEL,YMML,-37.673302,144.843002,434.0,O,Australia/Hobart
22,Adelaide International Airport,Adelaide,Australia,ADL,YPAD,-34.945,138.531006,20.0,O,Australia/Adelaide
23,Sydney Kingsford Smith International Airport,Sydney,Australia,SYD,YSSY,-33.946098,151.177002,21.0,O,Australia/Sydney
24,General Edward Lawrence Logan International Airport,Boston,United States,BOS,KBOS,42.3643,-71.005203,20.0,A,America/New_York
25,San Francisco International Airport,San Francisco,United States,SFO,KSFO,37.618999,-122.375,13.0,A,America/Los_Angeles
26,Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.942501,-118.407997,125.0,A,America/Los_Angeles
27,Ronald Reagan Washington National Airport,Washington,United States,DCA,KDCA,38.8521,-77.037697,15.0,A,America/New_York
28,Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,47.449001,-122.308998,433.0,A,America/Los_Angeles
29,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,1026.0,A,America/New_York
30,La Guardia Airport,New York,United States,LGA,KLGA,40.777199,-73.872597,21.0,A,America/New_York
31,Portland International Airport,Portland,United States,PDX,KPDX,45.588699,-122.598,31.0,A,America/Los_Angeles
32,San Diego International Airport,San Diego,United States,SAN,KSAN,32.733601,-117.190002,17.0,A,America/Los_Angeles
33,Norman Y. Mineta San Jose International Airport,San Jose,United States,SJC,KSJC,37.362598,-121.929001,62.0,A,America/Los_Angeles
34,Ted Stevens Anchorage International Airport,Anchorage,United States,ANC,PANC,61.1744,-149.996002,152.0,A,America/Anchorage
35,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.639801,-73.7789,13.0,A,America/New_York
36,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,672.0,A,America/Chicago
37,John Wayne Airport-Orange County Airport,Santa Ana,United States,SNA,KSNA,33.675701,-117.867996,56.0,A,America/Los_Angeles
38,McCarran International Airport,Las Vegas,United States,LAS,KLAS,36.080101,-115.152,2181.0,A,America/Los_Angeles
