0,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1,2022-06-06 05:57:20,008080,-32.149887,20.861499,212.811375,226.528724,0.0,LNK893,0.0,0.0,0.0,NaN,7871.46,8313.42,1654495039.48,1654495039.48
2,2022-06-06 07:59:00,008080,-32.037157,21.615432,222.511749,47.326362,0.0,LNK902,0.0,0.0,0.0,6325.0,8503.92,8964.93,1654502113.082,1654502113.082
3,2022-06-06 11:46:50,008080,-32.188545,20.810572,216.108121,226.011538,0.0,LNK903,0.0,0.0,0.0,1000.0,7726.68,8168.64,1654516009.494,1654516009.494
4,2022-06-06 13:53:35,008080,-32.048218,21.601428,221.730132,47.355776,0.0,LNK920,0.0,0.0,0.0,462.0,8580.12,9090.66,1654523320.841,1654523331.784
5,2022-06-06 05:32:50,008081,-32.046654,21.472834,225.538375,50.146295,0.0,LNK892,0.0,0.0,0.0,NaN,7947.66,8427.72,1654493276.235,1654493276.235
6,2022-06-06 12:46:10,008081,-32.166526,21.392455,221.309599,48.610091,0.0,LNK896,0.0,0.0,0.0,NaN,7848.6,8305.8,1654519569.904,1654519569.904
7,2022-06-06 09:56:40,008081,-32.023564,21.024805,218.311632,225.0,0.0,LNK905,0.0,0.0,0.0,NaN,7917.18,8404.86,1654509399.961,1654509399.961
8,2022-06-06 17:30:25,008081,-32.153623,20.855514,213.531445,224.902392,0.0,LNK909,0.0,0.0,0.0,NaN,7692.39,8164.83,1654536624.7405,1654536624.7405
9,2022-06-06 16:38:15,00808c,-32.045059,21.51925,225.150811,49.246397,0.0,LNK898,0.0,0.0,0.0,NaN,8576.31,9075.42,1654533238.764,1654533246.962
10,2022-06-06 14:25:10,00808c,-31.953644,21.114789,220.093669,224.337103,0.32512,LNK901,0.0,0.0,0.0,NaN,8336.28,8816.34,1654525509.361,1654525509.361
11,2022-06-06 05:43:40,00869f,-32.402893,20.532568,203.38503,226.657615,0.0,KEM0810,0.0,0.0,0.0,NaN,6979.92,7414.26,1654494219.567,1654494219.567
12,2022-06-06 10:55:30,00869f,-32.452011,20.467584,200.071763,226.989364,-0.32512,KEM0812,0.0,0.0,0.0,NaN,6690.36,7117.08,1654512929.513,1654512929.513
13,2022-06-06 16:18:25,00869f,-32.056641,21.523842,220.379666,49.915122,0.0,KEM0813,0.0,0.0,0.0,5246.0,8294.37,8789.67,1654532304.761,1654532304.761
14,2022-06-06 07:37:10,00869f,-32.091018,21.411849,219.674817,45.0,0.0,KEM1803,0.0,0.0,0.0,NaN,8206.74,8614.41,1654500784.392,1654500784.392
15,2022-06-06 05:11:05,008de3,-28.33754,26.048798,227.224682,46.514317,0.0,FA128,0.0,0.0,0.0,NaN,8382.0,8808.72,1654492264.3825,1654492264.3825
16,2022-06-06 07:59:05,008de3,-32.202394,20.793476,217.576364,225.046132,0.0,FA129,0.0,0.0,0.0,7577.0,8008.62,8473.44,1654502344.6475,1654502344.6475
17,2022-06-06 10:20:40,008de4,-32.108056,21.525075,216.816023,47.481571,0.0,FA112,0.0,0.0,0.0,NaN,8221.98,8671.56,1654510547.367,1654510549.189
18,2022-06-06 17:29:35,008de4,-32.238075,20.74617,223.731098,227.181641,0.0,FA113,0.0,0.0,0.0,NaN,7254.24,7654.29,1654536574.7695,1654536574.7695
19,2022-06-06 05:05:45,008de4,-28.281555,26.112132,226.609483,44.909628,0.0,SFR100,0.0,0.0,0.0,6035.0,8092.44,8526.78,1654491940.8585,1654491944.38
20,2022-06-06 07:51:45,008de4,-32.305473,20.659752,208.815789,226.406324,0.0,SFR101,0.0,0.0,0.0,NaN,7700.01,8115.3,1654501904.6475,1654501904.6475
21,2022-06-06 05:47:55,008ff4,-28.451111,25.920076,229.399342,47.450147,0.0,GBB110,0.0,0.0,0.0,NaN,7947.66,8435.34,1654494466.766,1654494471.2385
22,2022-06-06 09:04:10,008ff4,-32.205734,20.788055,226.991675,225.18364,-0.32512,GBB111,0.0,0.0,0.0,NaN,7117.08,7559.04,1654506249.845,1654506249.846
23,2022-06-06 12:51:35,008ff4,-28.318681,26.070287,223.763321,47.945096,0.0,GBB112,0.0,0.0,0.0,NaN,7623.81,8092.44,1654519894.5915,1654519894.592
24,2022-06-06 16:00:20,008ff4,-32.342028,20.610856,217.651158,225.275018,0.0,GBB113,0.0,0.0,0.0,NaN,6949.44,7360.92,1654531219.487,1654531219.487
25,2022-06-06 06:35:45,008ffa,-32.355672,20.594543,202.156458,224.063878,0.0,GBB101,0.0,0.0,0.0,NaN,7105.65,7559.04,1654497344.8175,1654497344.8175
26,2022-06-06 09:19:20,008ffa,-28.376862,26.004322,222.502234,49.58122,0.0,GBB102,0.0,0.0,0.0,NaN,7886.7,8408.67,1654507159.525,1654507159.718
27,2022-06-06 12:59:40,008ffa,-32.277328,20.695441,206.29461,225.092264,0.0,GBB103,0.0,0.0,0.0,NaN,7109.46,7528.56,1654520379.527,1654520379.527
28,2022-06-06 15:13:50,008ffa,-32.047623,21.557648,225.618154,48.366461,0.0,GBB104,0.0,0.0,0.0,NaN,7970.52,8465.82,1654528186.478,1654528186.478
29,2022-06-06 06:17:55,0092d2,-32.262087,19.292549,119.406939,23.702646,0.0,ZSODI,0.0,0.0,0.0,NaN,5631.18,6008.37,1654496273.466,1654496274.56
30,2022-06-06 13:42:45,009993,-33.226709,22.911819,211.422089,164.820073,0.0,00000000,0.0,0.0,0.0,NaN,8869.68,NaN,1654522964.7015,1654522964.867
31,2022-06-06 07:25:30,00b024,-32.189713,20.810577,226.629369,225.452564,0.0,SAA317,0.0,0.0,0.0,NaN,7863.84,8321.04,1654500329.862,1654500329.862
32,2022-06-06 09:36:40,00b024,-32.000702,21.660809,219.017849,47.577491,0.0,SAA332,0.0,0.0,0.0,NaN,8046.72,8534.4,1654508084.979,1654508084.979
33,2022-06-06 13:47:15,00b024,-32.242767,20.742133,221.38093,226.473521,0.0,SAA343,0.0,0.0,0.0,NaN,7776.21,8237.22,1654523234.7085,1654523234.7085
34,2022-06-06 15:44:30,00b024,-31.998825,21.591705,215.454405,48.935748,0.0,SAA354,0.0,0.0,0.0,NaN,8130.54,8625.84,1654530237.604,1654530247.439
35,2022-06-06 04:41:55,00b025,-32.040482,21.433777,225.820035,51.141111,0.0,SAA302,0.0,0.0,0.0,NaN,7959.09,8442.96,1654490239.012,1654490244.473
36,2022-06-06 17:43:30,00b026,-32.300537,20.667371,219.745283,226.164818,0.0,SAA357,0.0,0.0,0.0,NaN,7475.22,7924.8,1654537409.356,1654537409.541
37,2022-06-06 05:26:45,00b098,-32.493805,20.412762,196.778701,228.332532,0.0,FA200,0.0,0.0,0.0,NaN,6964.68,7387.59,1654493204.683,1654493204.683
38,2022-06-06 08:08:45,00b098,-28.309721,26.080184,220.145363,47.735975,0.0,FA201,0.0,0.0,0.0,NaN,8355.33,8862.06,1654502924.782,1654502924.782
39,2022-06-06 11:22:30,00b098,-32.332391,20.623524,209.65597,226.94448,0.0,SFR202,0.0,0.0,0.0,NaN,7147.56,7574.28,1654514549.596,1654514549.784
40,2022-06-06 13:30:30,00b098,-32.112442,21.51958,223.704481,47.363247,0.0,SFR203,0.0,0.0,0.0,NaN,8602.98,9083.04,1654521939.252,1654521951.109
41,2022-06-06 15:08:30,00b099,-32.083374,21.594562,221.942494,46.459449,0.0,SFR114,0.0,0.0,0.0,NaN,8427.72,8877.3,1654527840.938,1654527871.412
42,2022-06-06 18:50:20,00b099,-32.104202,20.920825,215.640419,227.895036,0.0,SFR115,0.0,0.0,0.0,NaN,7970.52,8412.48,1654541419.249,1654541419.799
43,2022-06-06 10:24:50,00b394,-31.742761,21.601373,197.72058,229.239872,0.0,ZSTNF,0.0,0.0,0.0,NaN,8610.6,8911.59,1654511089.939,1654511089.939
44,2022-06-06 19:02:55,00c45f,-28.101782,26.314648,220.614523,47.700629,0.0,SFR215,0.0,0.0,0.0,NaN,8595.36,9090.66,1654542173.474,1654542173.474
45,2022-06-06 16:11:55,00c45f,-32.280487,20.691129,202.084804,225.184824,0.0,SFR268,0.0,0.0,0.0,NaN,7589.52,8027.67,1654531914.8805,1654531914.8805
46,2022-06-06 21:48:25,0d08e7,34.691449,-119.605579,218.640794,138.762271,0.32512,XARWS,0.0,0.0,0.0,7464.0,9258.3,9723.12,1654552104.5205,1654552104.9535
47,2022-06-06 16:29:15,0d0c44,33.237823,-84.096706,240.049184,53.080041,0.0,VIV100,0.0,0.0,0.0,4212.0,11269.98,11673.84,1654532954.757,1654532954.8945
48,2022-06-06 19:30:55,141ed5,59.417589,31.612435,NaN,NaN,NaN,RA07893,0.0,0.0,0.0,NaN,2133.6,NaN,1654543854.477,1654543854.477
49,2022-06-06 08:09:15,142329,56.114822,36.345853,128.147354,286.524294,0.0,GZP9633,0.0,0.0,0.0,NaN,1649.73,1706.88,1654502837.808,1654502838.2
50,2022-06-06 13:54:50,142382,59.010773,31.90155,155.829835,317.61443,-3.2512,RSD658,0.0,0.0,0.0,NaN,4145.28,4221.48,1654523689.72,1654523689.985
51,2022-06-06 07:03:40,14f114,58.932541,32.71075,NaN,NaN,-2.27584,RSD071,0.0,0.0,0.0,NaN,3688.08,NaN,1654499019.722,1654499019.722
52,2022-06-06 09:43:35,14fc13,58.957664,33.212238,150.467982,248.629378,0.0,RSD206,0.0,0.0,0.0,350.0,2956.56,3009.9,1654508614.7695,1654508614.856
53,2022-06-06 16:49:35,151d7c,59.141006,31.77713,147.14931,314.715514,-2.92608,UTA381,0.0,0.0,0.0,NaN,3794.76,3855.72,1654534174.602,1654534174.7995
54,2022-06-06 18:21:35,151da4,59.301977,31.438991,133.853343,315.31679,-3.90144,AFL030,0.0,0.0,0.0,NaN,3112.77,3128.01,1654539694.9425,1654539694.9425
55,2022-06-06 14:29:35,151da5,59.14356,31.562081,129.869347,315.481466,-3.90144,AFL038,0.0,0.0,0.0,NaN,2781.3,2362.2,1654525774.826,1654525774.9665
56,2022-06-06 06:27:50,151dc9,59.182434,31.667816,123.682866,315.519283,-4.22656,AFL010,0.0,0.0,0.0,NaN,3108.96,3162.3,1654496869.193,1654496869.236
